text,truth,prediction,Status
"A charge injection technique is applied to the X-ray CCD camera, XIS (X-ray Imaging Spectrometer) onboard Suzaku. The charge transfer inefficiency (CTI) in each CCD column (vertical transfer channel) is measured by the injection of charge packets into a transfer channel and subsequent readout. This paper reports the performances of the charge injection capability based on the ground experiments using a radiation damaged device, and in-orbit measurements of the XIS. The ground experiments show that charges are stably injected with the dispersion of 91eV in FWHM in a specific column for the charges equivalent to the X-ray energy of 5.1keV. This dispersion width is significantly smaller than that of the X-ray events of 113eV (FWHM) at approximately the same energy. The amount of charge loss during transfer in a specific column, which is measured with the charge injection capability, is consistent with that measured with the calibration source. These results indicate that the charge injection technique can accurately measure column-dependent charge losses rather than the calibration sources. The column-to-column CTI correction to the calibration source spectra significantly reduces the line widths compared to those with a column-averaged CTI correction (from 193eV to 173eV in FWHM on an average at the time of one year after the launch). In addition, this method significantly reduces the low energy tail in the line profile of the calibration source spectrum. ",0,1,Misclassified
"We obtained H-band polarimetric data of IRAS 19312+1950 using the near-infrared camera (CIAO) on the 8 m Subaru telescope. In order to investigate the physical properties of the central star and the nebula, we performed dust radiative transfer modeling and compared the model results with the observed spectral energy distributions (SEDs), the radial profiles of the total intensity image, and the fraction of linear polarization map. The total intensity image shows a nearly spherical core with3' radius, an S-shaped arm extending10' in the northwest to southeast direction, and an extended lobe towards the southwest. The polarization map shows a centro-symmetric vector alignment in almost the entire nebula and low polarizations along the S-shaped arm. These results suggest that the nebula is accompanied by a central star, and the S-shaped arm has a physically ring-like structure. From our radiative transfer modeling, we estimated the stellar temperature, the bolometric luminosity, and the current mass-loss rate to be 2800 K, 7000 L_sun, and 5.3x10^-6 M_sun yr^-1, respectively. Taking into account previous observational results, such as the detection of SiO maser emissions and silicate absorption feature in the 10 μm spectrum, our dust radiative transfer analysis based on our NIR imaging polarimetry suggests that (1) the central star of IRAS 19312+1950 is likely to be an oxygen-rich, dust-enshrouded AGB star and (2) most of the circumstellar material originates from other sources (e.g. ambient dark clouds) rather than as a result of mass loss from the central star. ",0,1,Misclassified
"We report new magnetic field measurements for 14 classical T Tauri stars (CTTSs). We combine these data with one previous field determination in order to compare our observed field strengths with the field strengths predicted by magnetospheric accretion models. We use literature data on the stellar mass, radius, rotation period, and disk accretion rate to predict the field strength that should be present on each of our stars according to these magnetospheric accretion models. We show that our measured field values do not correlate with the field strengths predicted by simple magnetospheric accretion theory. We also use our field strength measurements and literature X-ray luminosity data to test a recent relationship expressing X-ray luminosity as a function of surface magnetic flux derived from various solar feature and main sequence star measurements. We find that the T Tauri stars we have observed have weaker than expected X-ray emission by over an order of magnitude on average using this relationship. We suggest the cause for this is actually a result of the very strong fields on these stars which decreases the efficiency with which gas motions in the photosphere can tangle magnetic flux tubes in the corona. ",0,1,Misclassified
"As a first step to analyze the electromagnetic meson production reactions in the nucleon resonance region, the parameters of the hadronic interactions of a dynamical coupled-channel model, developed in Physics Reports 439, 193 (2007), are determined by fitting the π N scattering data. The channels included in the calculations are π N, η N and ππ N which has πΔ, ρ N, and σ N resonant components. The non-resonant meson-baryon interactions of the model are derived from a set of Lagrangians by using a unitary transformation method. One or two bare excited nucleon states in each of S, P, D, and F partial waves are included to generate the resonant amplitudes in the fits. The parameters of the model are first determined by fitting as much as possible the empirical π N elastic scattering amplitudes of SAID up to 2 GeV. We then refine and confirm the resulting parameters by directly comparing the predicted differential cross section and target polarization asymmetry with the original data of the elastic π^± p →π^± p and charge-exchange π^- p →π^0 n processes. The predicted total cross sections of π N reactions and π N→η N reactions are also in good agreement with the data. Applications of the constructed model in analyzing the electromagnetic meson production data as well as the future developments are discussed. ",0,1,Misclassified
"We outline a dynamical dark energy scenario whose signatures may be simultaneously tested by astronomical observations and laboratory experiments. The dark energy is a field with slightly sub-gravitational couplings to matter, a logarithmic self-interaction potential with a scale tuned to ∼ 10^-3 eV, as is usual in quintessence models, and an effective mass m_ϕ influenced by the environmental energy density. Its forces may be suppressed just below the current bounds by the chameleon-like mimicry, whereby only outer layers of mass distributions, of thickness 1/m_ϕ, give off appreciable long range forces. After inflation and reheating, the field is relativistic, and attains a Planckian expectation value before Hubble friction freezes it. This can make gravity in space slightly stronger than on Earth. During the matter era, interactions with nonrelativistic matter dig a minimum close to the Planck scale. However, due to its sub-gravitational matter couplings the field will linger away from this minimum until the matter energy density dips below ∼ 10^-12 eV^4. Then it starts to roll to the minimum, driving a period of cosmic acceleration. Among the signatures of this scenario may be dark energy equation of state w-1, stronger gravity in dilute mediums, that may influence BBN and appear as an excess of dark matter, and sub-millimeter corrections to Newton's law, close to the present laboratory limits. ",0,1,Misclassified
"The triplet and singlet low-energy parameters in the effective-range expansion for neutron–proton scattering are determined by using the latest experimental data on respective phase shifts from the SAID nucleon–nucleon database. The results differ markedly from the analogous parameters obtained on the basis of the phase shifts of the Nijmegen group and contradict the parameter values that are presently used as experimental ones. The values found with the aid of the phase shifts from the SAID nucleon–nucleon database for the total cross section for the scattering of zero-energy neutrons by protons, σ_0=20.426b, and the neutron–proton coherent scattering length, f=-3.755fm, agree perfectly with the experimental cross-section values obtained by Houk, σ_0=20.436± 0.023b, and experimental scattering-length values obtained by Houk and Wilson, f=-3.756± 0.009fm, but they contradict cross-section values of σ_0=20.491± 0.014b according to Dilg and coherent-scattering-length values of f=-3.7409± 0.0011fm according to Koester and Nistler. ",0,1,Misclassified
"We report on HST/ACS photometry of the rich intermediate-age star cluster NGC 1846 in the Large Magellanic Cloud, which clearly reveals the presence of a double main sequence turn-off in this object. Despite this, the main sequence, sub-giant branch, and red giant branch are all narrow and well-defined, and the red clump is compact. We examine the spatial distribution of turn-off stars and demonstrate that all belong to NGC 1846 rather than to any field star population. In addition, the spatial distributions of the two sets of turn-off stars may exhibit different central concentrations and some asymmetries. By fitting isochrones, we show that the properties of the colour-magnitude diagram can be explained if there are two stellar populations of equivalent metal abundance in NGC 1846, differing in age by approximately 300 Myr. The absolute ages of the two populations are1.9 and2.2 Gyr, although there may be a systematic error of up to +/-0.4 Gyr in these values. The metal abundance inferred from isochrone fitting is [M/H]-0.40, consistent with spectroscopic measurements of [Fe/H]. We propose that the observed properties of NGC 1846 can be explained if this object originated via the tidal capture of two star clusters formed separately in a star cluster group in a single giant molecular cloud. This scenario accounts naturally for the age difference and uniform metallicity of the two member populations, as well as the differences in their spatial distributions. ",0,1,Misclassified
"Disclinations, first observed in mesomorphic phases, are relevant to a number of ill-ordered condensed matter media, with continuous symmetries or frustrated order. They also appear in polycrystals at the edges of grain boundaries. They are of limited interest in solid single crystals, where, owing to their large elastic stresses, they mostly appear in close pairs of opposite signs. The relaxation mechanisms associated with a disclination in its creation, motion, change of shape, involve an interplay with continuous or quantized dislocations and/or continuous disclinations. These are attached to the disclinations or are akin to Nye's dislocation densities, well suited here. The notion of 'extended Volterra process' takes these relaxation processes into account and covers different situations where this interplay takes place. These concepts are illustrated by applications in amorphous solids, mesomorphic phases and frustrated media in their curved habit space. The powerful topological theory of line defects only considers defects stable against relaxation processes compatible with the structure considered. It can be seen as a simplified case of the approach considered here, well suited for media of high plasticity or/and complex structures. Topological stability cannot guarantee energetic stability and sometimes cannot distinguish finer details of structure of defects. ",0,1,Misclassified
"In this paper we first construct a mathematical model for the Universe expansion that started up with the original Big Bang. Next, we discuss the problematic of the mechanical and physical laws invariance regarding the spatial frame exchanges. We then prove the (theoretical) existence of a variable metric g_t, depending on time and satisfying to a simplified Einstein equation, so that all free ordinary trajectories are geodesics. This is done by considering the classical Galileo-Newtonian space and time relation, by using generalized Newtonian principles and adding the approved physical new ones (as covariance principle, Mach principle, the Einstein equivalence principle ...) in order to establish a new cosmological model of the dynamical Universe as being (U(t))_t≥ 0=(B_e(O,t),g_t)_t≥ 0, where B_e(O,t) is the Euclidean ball of radius t in ℝ^3. The cosmological metric g_t is totally determined, at time t, by the mass energy distribution E_t(X) on B_e(O,t). We study also the black holes phenomenon and we prove that the total and global cosmological energy distribution E_t(X) satisfies to the wave equation whose solutions are characterized by pseudo-frequencies depending on time and related to the spectrum of the Dirichlet problem on the unit ball B_e(O,1) for the Laplace-Beltrami operator -Δ. Our model is consistent in the sense that all Newtonian and classical physical laws are valid as particular cases in classical situations. Then, we show that all basic results of Modern Physics are still valid without using the second postulate of special relativity nor the uncertainty principle. ",0,1,Misclassified
"We study the non-equilibrium relaxation of an elastic line described by the Edwards-Wilkinson equation. Although this model is the simplest representation of interface dynamics, we highlight that many (not though all) important aspects of the non-equilibrium relaxation of elastic manifolds are already present in such quadratic and clean systems. We analyze in detail the aging behaviour of several two-times averaged and fluctuating observables taking into account finite-size effects and the crossover to the stationary and equilibrium regimes. We start by investigating the structure factor and extracting from its decay a growing correlation length. We present the full two-times and size dependence of the interface roughness and we generalize the Family-Vicsek scaling form to non-equilibrium situations. We compute the incoherent cattering function and we compare it to the one measured in other glassy systems. We analyse the response functions, the violation of the fluctuation-dissipation theorem in the aging regime, and its crossover to the equilibrium relation in the stationary regime. Finally, we study the out-of-equilibrium fluctuations of the previously studied two-times functions and we characterize the scaling properties of their probability distribution functions. Our results allow us to obtain new insights into other glassy problems such as the aging behavior in colloidal glasses and vortex glasses. ",0,1,Misclassified
"We discuss Kondo behavior of a conduction electron system coupled with local optical phonon by analyzing the Anderson-Holstein model with the use of a numerical renormalization group (NRG) method. There appear three typical regions due to the balance between Coulomb interaction U_ ee and phonon-mediated attraction U_ ph. For U_ ee>U_ ph, we observe the standard Kondo effect concerning spin degree of freedom. Since the Coulomb interaction is effectively reduced as U_ ee-U_ ph, the Kondo temperature T_ K is increased when U_ ph is increased. On the other hand, for U_ ee<U_ ph, there occurs the Kondo effect concerning charge degree of freedom, since vacant and double occupied states play roles of pseudo-spins. Note that in this case, T_ K is decreased with the increase of U_ ph. Namely, T_ K should be maximized for U_ ee≈ U_ ph. Then, we analyze in detail the Kondo behavior at U_ ee=U_ ph, which is found to be explained by the polaron Anderson model with reduced hybridization of polaron and residual repulsive interaction among polarons. By comparing the NRG results of the polaron Anderson model with those of the original Anderson-Holstein model, we clarify the Kondo behavior in the competing region of U_ ee≈ U_ ph. ",0,1,Misclassified
"We present an original method of digitizing and astrometrically reducing 'Carte du Ciel' plate material using an inexpensive flatbed scanner, to demonstrate that for this material there is an alternative to more specialized measuring machines that are very few in number and thus not readily available. The sample of plates chosen to develop this method are original 'Carte du Ciel' plates of the San Fernando zone, photographic material with a mean epoch 1903.6, and a limiting photographic magnitude14.5, covering the declination range of -10 < dec < -2. Digitization has been made using a commercial flatbed scanner, demonstrating the internal precision that can be attained with such a device. A variety of post-scan corrections are shown to be necessary. In particular, the large distortion introduced by the non-uniform action of the scanner is modelled using multiple scans of each plate. We also tackle the specific problems associated with the triple-exposure images on some plates and the grid lines present on all. The final measures are reduced to celestial coordinates using the Tycho-2 Catalogue. The internal precision obtained over a single plate, 3microns0.18' in each axis, is comparable to what is realized with similar plate material using slower, less affordable, and less widely available conventional measuring machines, such as a PDS microdensitometer. The accuracy attained over large multi-plate areas, employing an overlapping plate technique, is estimated at 0.2'. ",0,1,Misclassified
