test_data,Accuracy,Precision,Recall,F1 Score,Sensitivity,Specificity,percentage,percentageValue
Test results,0.7183333333333334,0.6621287128712872,0.8916666666666667,0.7599431818181818,0.8916666666666667,0.545,2% (38),38
Evaluation for cohere_wiki_without,0.592948717948718,0.5519713261648745,0.9871794871794872,0.7080459770114942,0.9871794871794872,0.1987179487179487,4% (76),76
Validation results,0.7927083333333333,0.7178294573643411,0.9645833333333333,0.8231111111111112,0.9645833333333333,0.6208333333333333,4% (76),76
Test results,0.7908333333333334,0.7173100871731009,0.96,0.8210976478973628,0.96,0.6216666666666667,4% (76),76
Evaluation for chatgpt_abstract_without,0.8108333333333333,0.7255139056831923,1.0,0.8409250175192712,1.0,0.6216666666666667,4% (76),76
Evaluation for bloomz_abstract_without,0.7908333333333334,0.7173100871731009,0.96,0.8210976478973628,0.96,0.6216666666666667,4% (76),76
Evaluation for llama3_abstract_without,0.8258333333333333,0.7428571428571429,0.9966666666666667,0.8512455516014236,0.9966666666666667,0.655,4% (76),76
Evaluation for cohere_abstract_without,0.7791666666666667,0.7122940430925222,0.9366666666666666,0.8092152627789777,0.9366666666666666,0.6216666666666667,4% (76),76
Evaluation for davinci_abstract_without,0.7691666666666667,0.7111111111111111,0.9066666666666666,0.797069597069597,0.9066666666666666,0.6316666666666667,4% (76),76
Evaluation for flant5_abstract_without,0.7841666666666667,0.7144654088050314,0.9466666666666667,0.814336917562724,0.9466666666666667,0.6216666666666667,4% (76),76
Evaluation for llama3_ml_without,0.6358333333333334,0.5785920925747348,1.0,0.7330482590103848,1.0,0.27166666666666667,4% (76),76
Evaluation for bloomz_wiki_without,0.5391666666666667,0.5222748815165876,0.9183333333333333,0.6658610271903322,0.9183333333333333,0.16,4% (76),76
Evaluation for chatgpt_wiki_without,0.6010016694490818,0.5561745589600743,1.0,0.7147971360381862,1.0,0.2020033388981636,4% (76),76
Evaluation for davinci_wiki_without,0.5891666666666666,0.549127640036731,0.9966666666666667,0.7081113084665482,0.9966666666666667,0.18166666666666667,4% (76),76
Evaluation for davinci_wiki_without,0.5183333333333333,0.5097517730496454,0.9583333333333334,0.6655092592592592,0.9583333333333334,0.07833333333333334,8% (153),153
Test results,0.9775,0.9735537190082645,0.9816666666666667,0.9775933609958506,0.9816666666666667,0.9733333333333334,8% (153),153
Evaluation for chatgpt_abstract_without,0.9866666666666667,0.974025974025974,1.0,0.9868421052631579,1.0,0.9733333333333334,8% (153),153
Evaluation for bloomz_abstract_without,0.9775,0.9735537190082645,0.9816666666666667,0.9775933609958506,0.9816666666666667,0.9733333333333334,8% (153),153
Evaluation for llama3_abstract_without,0.9966666666666667,0.9983277591973244,0.995,0.996661101836394,0.995,0.9983333333333333,8% (153),153
Evaluation for cohere_abstract_without,0.97,0.9731543624161074,0.9666666666666667,0.9698996655518394,0.9666666666666667,0.9733333333333334,8% (153),153
Evaluation for davinci_abstract_without,0.95,0.972027972027972,0.9266666666666666,0.9488054607508531,0.9266666666666666,0.9733333333333334,8% (153),153
Evaluation for flant5_abstract_without,0.9633333333333334,0.9727891156462585,0.9533333333333334,0.962962962962963,0.9533333333333334,0.9733333333333334,8% (153),153
Evaluation for llama3_ml_without,0.4841666666666667,0.4913557779799818,0.9,0.6356680400235433,0.9,0.06833333333333333,8% (153),153
Evaluation for bloomz_wiki_without,0.505,0.5026223776223776,0.9583333333333334,0.6594036697247706,0.9583333333333334,0.051666666666666666,8% (153),153
Evaluation for chatgpt_wiki_without,0.5409015025041736,0.5215479331574319,0.989983305509182,0.6831797235023043,0.989983305509182,0.09181969949916527,8% (153),153
Validation results,0.9729166666666667,0.96900826446281,0.9770833333333333,0.9730290456431535,0.9770833333333333,0.96875,8% (153),153
Evaluation for cohere_wiki_without,0.5427350427350427,0.5225733634311512,0.9893162393162394,0.6838995568685377,0.9893162393162394,0.09615384615384616,8% (153),153
Validation results,0.9770833333333333,0.9654471544715447,0.9895833333333334,0.977366255144033,0.9895833333333334,0.9645833333333333,10% (192),192
Evaluation for davinci_wiki_without,0.5125,0.5066430469441984,0.9533333333333334,0.6616541353383458,0.9533333333333334,0.07166666666666667,10% (192),192
Evaluation for chatgpt_wiki_without,0.5409015025041736,0.5215859030837005,0.988313856427379,0.6828143021914648,0.988313856427379,0.09348914858096828,10% (192),192
Evaluation for bloomz_wiki_without,0.49666666666666665,0.4982363315696649,0.9416666666666667,0.6516724336793541,0.9416666666666667,0.051666666666666666,10% (192),192
Evaluation for llama3_ml_without,0.5158333333333334,0.508071367884452,0.9966666666666667,0.6730444569499157,0.9966666666666667,0.035,10% (192),192
Evaluation for flant5_abstract_without,0.9733333333333334,0.9686468646864687,0.9783333333333334,0.9734660033167497,0.9783333333333334,0.9683333333333334,10% (192),192
Evaluation for davinci_abstract_without,0.9483333333333334,0.9653979238754326,0.93,0.9473684210526316,0.93,0.9666666666666667,10% (192),192
Evaluation for cohere_wiki_without,0.5331196581196581,0.5174746335963923,0.9807692307692307,0.677490774907749,0.9807692307692307,0.08547008547008547,10% (192),192
Evaluation for llama3_abstract_without,0.9933333333333333,0.9884488448844885,0.9983333333333333,0.9933665008291874,0.9983333333333333,0.9883333333333333,10% (192),192
Evaluation for bloomz_abstract_without,0.9741666666666666,0.9686985172981878,0.98,0.9743164871582436,0.98,0.9683333333333334,10% (192),192
Evaluation for chatgpt_abstract_without,0.9833333333333333,0.9692556634304207,0.9983333333333333,0.9835796387520526,0.9983333333333333,0.9683333333333334,10% (192),192
Test results,0.9741666666666666,0.9686985172981878,0.98,0.9743164871582436,0.98,0.9683333333333334,10% (192),192
Evaluation for cohere_abstract_without,0.97,0.96843853820598,0.9716666666666667,0.9700499168053245,0.9716666666666667,0.9683333333333334,10% (192),192
Test results,0.9775,0.967373572593801,0.9883333333333333,0.9777411376751853,0.9883333333333333,0.9666666666666667,15% (288),288
Evaluation for chatgpt_abstract_without,0.9833333333333333,0.967741935483871,1.0,0.9836065573770492,1.0,0.9666666666666667,15% (288),288
Evaluation for bloomz_abstract_without,0.9775,0.967373572593801,0.9883333333333333,0.9777411376751853,0.9883333333333333,0.9666666666666667,15% (288),288
Evaluation for llama3_abstract_without,0.9925,0.9868204283360791,0.9983333333333333,0.9925434962717481,0.9983333333333333,0.9866666666666667,15% (288),288
Evaluation for cohere_abstract_without,0.9733333333333334,0.9671052631578947,0.98,0.9735099337748344,0.98,0.9666666666666667,15% (288),288
Evaluation for flant5_abstract_without,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,15% (288),288
Evaluation for llama3_ml_without,0.5275,0.5141388174807198,1.0,0.6791171477079796,1.0,0.055,15% (288),288
Evaluation for bloomz_wiki_without,0.5108333333333334,0.5056669572798606,0.9666666666666667,0.6639954207212364,0.9666666666666667,0.055,15% (288),288
Evaluation for chatgpt_wiki_without,0.5358931552587646,0.5187445510026155,0.993322203672788,0.6815578465063002,0.993322203672788,0.07846410684474124,15% (288),288
Validation results,0.9770833333333333,0.9598393574297188,0.9958333333333333,0.9775051124744376,0.9958333333333333,0.9583333333333334,15% (288),288
Evaluation for davinci_abstract_without,0.95,0.9639175257731959,0.935,0.949238578680203,0.935,0.965,15% (288),288
Evaluation for cohere_wiki_without,0.5341880341880342,0.5178173719376392,0.9935897435897436,0.6808199121522693,0.9935897435897436,0.07478632478632478,15% (288),288
Evaluation for davinci_wiki_without,0.5216666666666666,0.5113636363636364,0.975,0.6708715596330275,0.975,0.06833333333333333,15% (288),288
Validation results,0.9802083333333333,0.973305954825462,0.9875,0.9803516028955533,0.9875,0.9729166666666667,20% (384),384
Test results,0.9791666666666666,0.9752066115702479,0.9833333333333333,0.979253112033195,0.9833333333333333,0.975,20% (384),384
Evaluation for chatgpt_abstract_without,0.9875,0.975609756097561,1.0,0.9876543209876543,1.0,0.975,20% (384),384
Evaluation for bloomz_abstract_without,0.9791666666666666,0.9752066115702479,0.9833333333333333,0.979253112033195,0.9833333333333333,0.975,20% (384),384
Evaluation for cohere_abstract_without,0.9766666666666667,0.9750830564784053,0.9783333333333334,0.9767054908485857,0.9783333333333334,0.975,20% (384),384
Evaluation for davinci_abstract_without,0.9516666666666667,0.9754385964912281,0.9266666666666666,0.9504273504273504,0.9266666666666666,0.9766666666666667,20% (384),384
Evaluation for llama3_abstract_without,0.99,0.9835526315789473,0.9966666666666667,0.990066225165563,0.9966666666666667,0.9833333333333333,20% (384),384
Evaluation for llama3_ml_without,0.5266666666666666,0.5137457044673539,0.9966666666666667,0.6780045351473923,0.9966666666666667,0.056666666666666664,20% (384),384
Evaluation for bloomz_wiki_without,0.52,0.5107334525939177,0.9516666666666667,0.6647264260768335,0.9516666666666667,0.08833333333333333,20% (384),384
Evaluation for chatgpt_wiki_without,0.5667779632721202,0.5361663652802894,0.989983305509182,0.695601173020528,0.989983305509182,0.14357262103505844,20% (384),384
Evaluation for cohere_wiki_without,0.5651709401709402,0.5350978135788262,0.9935897435897436,0.6955871353777113,0.9935897435897436,0.13675213675213677,20% (384),384
Evaluation for davinci_wiki_without,0.5366666666666666,0.5198915009041591,0.9583333333333334,0.6740914419695194,0.9583333333333334,0.115,20% (384),384
Evaluation for flant5_abstract_without,0.9658333333333333,0.9745331069609507,0.9566666666666667,0.9655172413793103,0.9566666666666667,0.975,20% (384),384
Evaluation for llama3_abstract_without,0.9766666666666667,0.9583333333333334,0.9966666666666667,0.977124183006536,0.9966666666666667,0.9566666666666667,25% (480),480
Validation results,0.9604166666666667,0.931640625,0.99375,0.9616935483870969,0.99375,0.9270833333333334,25% (480),480
Test results,0.9483333333333334,0.9177018633540373,0.985,0.9501607717041801,0.985,0.9116666666666666,25% (480),480
Evaluation for chatgpt_abstract_without,0.9558333333333333,0.9188361408882083,1.0,0.9577015163607342,1.0,0.9116666666666666,25% (480),480
Evaluation for bloomz_abstract_without,0.9483333333333334,0.9177018633540373,0.985,0.9501607717041801,0.985,0.9116666666666666,25% (480),480
Evaluation for cohere_abstract_without,0.8058333333333333,0.8879492600422833,0.7,0.7828518173345759,0.7,0.9116666666666666,25% (480),480
Evaluation for davinci_abstract_without,0.7841666666666667,0.8992974238875878,0.64,0.747809152872444,0.64,0.9283333333333333,25% (480),480
Evaluation for flant5_abstract_without,0.8416666666666667,0.8972868217054264,0.7716666666666666,0.8297491039426522,0.7716666666666666,0.9116666666666666,25% (480),480
Evaluation for llama3_ml_without,0.8341666666666666,0.7509386733416771,1.0,0.8577555396711937,1.0,0.6683333333333333,25% (480),480
Evaluation for bloomz_wiki_without,0.6858333333333333,0.6210640608034745,0.9533333333333334,0.7521367521367522,0.9533333333333334,0.41833333333333333,25% (480),480
Evaluation for chatgpt_wiki_without,0.6085141903171953,0.5608614232209738,1.0,0.7186562687462507,1.0,0.21702838063439064,25% (480),480
Evaluation for cohere_wiki_without,0.5673076923076923,0.540436456996149,0.8995726495726496,0.6752205292702487,0.8995726495726496,0.23504273504273504,25% (480),480
Evaluation for davinci_wiki_without,0.5816666666666667,0.5460526315789473,0.9683333333333334,0.6983173076923078,0.9683333333333334,0.195,25% (480),480
Evaluation for bloomz_abstract_without,0.9875,0.9834710743801653,0.9916666666666667,0.9875518672199171,0.9916666666666667,0.9833333333333333,30% (576),576
Evaluation for llama3_abstract_without,0.995,0.995,0.995,0.995,0.995,0.995,30% (576),576
Evaluation for cohere_abstract_without,0.8908333333333334,0.9795501022494888,0.7983333333333333,0.8797061524334252,0.7983333333333333,0.9833333333333333,30% (576),576
Evaluation for davinci_abstract_without,0.8916666666666667,0.9875518672199171,0.7933333333333333,0.8798521256931607,0.7933333333333333,0.99,30% (576),576
Evaluation for flant5_abstract_without,0.93,0.9813432835820896,0.8766666666666667,0.926056338028169,0.8766666666666667,0.9833333333333333,30% (576),576
Evaluation for chatgpt_wiki_without,0.5818030050083473,0.5446265938069217,0.998330550918197,0.704773129051267,0.998330550918197,0.1652754590984975,30% (576),576
Evaluation for bloomz_wiki_without,0.61,0.5645792563600783,0.9616666666666667,0.7114673242909988,0.9616666666666667,0.25833333333333336,30% (576),576
Evaluation for chatgpt_abstract_without,0.9916666666666667,0.9836065573770492,1.0,0.9917355371900827,1.0,0.9833333333333333,30% (576),576
Evaluation for cohere_wiki_without,0.5566239316239316,0.5308498253783469,0.9743589743589743,0.6872645064054257,0.9743589743589743,0.1388888888888889,30% (576),576
Evaluation for davinci_wiki_without,0.5425,0.5231607629427792,0.96,0.6772486772486772,0.96,0.125,30% (576),576
Validation results,0.9864583333333333,0.9814432989690721,0.9916666666666667,0.9865284974093264,0.9916666666666667,0.98125,30% (576),576
Evaluation for llama3_ml_without,0.7108333333333333,0.6382513661202186,0.9733333333333334,0.7709570957095709,0.9733333333333334,0.4483333333333333,30% (576),576
Test results,0.9875,0.9834710743801653,0.9916666666666667,0.9875518672199171,0.9916666666666667,0.9833333333333333,30% (576),576
Validation results,0.9822916666666667,0.9695740365111561,0.9958333333333333,0.9825282631038026,0.9958333333333333,0.96875,35% (672),672
Evaluation for davinci_wiki_without,0.5233333333333333,0.5123456790123457,0.9683333333333334,0.6701268742791235,0.9683333333333334,0.07833333333333334,35% (672),672
Evaluation for cohere_wiki_without,0.5438034188034188,0.5230078563411896,0.9957264957264957,0.6857983811626194,0.9957264957264957,0.09188034188034189,35% (672),672
Evaluation for chatgpt_wiki_without,0.5550918196994992,0.5291519434628975,1.0,0.6920854997111496,1.0,0.11018363939899833,35% (672),672
Evaluation for bloomz_wiki_without,0.5508333333333333,0.5276018099547511,0.9716666666666667,0.6838709677419355,0.9716666666666667,0.13,35% (672),672
Evaluation for flant5_abstract_without,0.9391666666666667,0.9782214156079855,0.8983333333333333,0.9365768896611641,0.8983333333333333,0.98,35% (672),672
Evaluation for davinci_abstract_without,0.9258333333333333,0.974025974025974,0.875,0.9218612818261633,0.875,0.9766666666666667,35% (672),672
Evaluation for llama3_ml_without,0.6258333333333334,0.5726660250240616,0.9916666666666667,0.726052471018914,0.9916666666666667,0.26,35% (672),672
Evaluation for llama3_abstract_without,0.9966666666666667,0.9966666666666667,0.9966666666666667,0.9966666666666667,0.9966666666666667,0.9966666666666667,35% (672),672
Evaluation for bloomz_abstract_without,0.985,0.9801980198019802,0.99,0.9850746268656716,0.99,0.98,35% (672),672
Evaluation for chatgpt_abstract_without,0.99,0.9803921568627451,1.0,0.99009900990099,1.0,0.98,35% (672),672
Test results,0.985,0.9801980198019802,0.99,0.9850746268656716,0.99,0.98,35% (672),672
Evaluation for cohere_abstract_without,0.9641666666666666,0.9793459552495697,0.9483333333333334,0.9635901778154107,0.9483333333333334,0.98,35% (672),672
Evaluation for llama3_ml_without,0.6325,0.5844845908607864,0.9166666666666666,0.7138221933809216,0.9166666666666666,0.34833333333333333,40% (768),768
Evaluation for davinci_wiki_without,0.53,0.5161001788908766,0.9616666666666667,0.6717112922002328,0.9616666666666667,0.09833333333333333,40% (768),768
Evaluation for cohere_wiki_without,0.5566239316239316,0.5301478953356087,0.9957264957264957,0.6919079435783222,0.9957264957264957,0.11752136752136752,40% (768),768
Evaluation for chatgpt_wiki_without,0.5626043405676127,0.5334522747546833,0.998330550918197,0.6953488372093023,0.998330550918197,0.12687813021702837,40% (768),768
Evaluation for bloomz_wiki_without,0.545,0.5243682310469314,0.9683333333333334,0.680327868852459,0.9683333333333334,0.12166666666666667,40% (768),768
Evaluation for flant5_abstract_without,0.9566666666666667,0.9892857142857143,0.9233333333333333,0.9551724137931035,0.9233333333333333,0.99,40% (768),768
Evaluation for davinci_abstract_without,0.8833333333333333,0.9914529914529915,0.7733333333333333,0.8689138576779025,0.7733333333333333,0.9933333333333333,40% (768),768
Evaluation for cohere_abstract_without,0.9616666666666667,0.9893992932862191,0.9333333333333333,0.9605488850771869,0.9333333333333333,0.99,40% (768),768
Evaluation for llama3_abstract_without,0.995,0.9983221476510067,0.9916666666666667,0.9949832775919732,0.9916666666666667,0.9983333333333333,40% (768),768
Evaluation for bloomz_abstract_without,0.9891666666666666,0.989983305509182,0.9883333333333333,0.9891576313594662,0.9883333333333333,0.99,40% (768),768
Evaluation for chatgpt_abstract_without,0.995,0.9900990099009901,1.0,0.9950248756218906,1.0,0.99,40% (768),768
Test results,0.9891666666666666,0.989983305509182,0.9883333333333333,0.9891576313594662,0.9883333333333333,0.99,40% (768),768
Validation results,0.9895833333333334,0.9875518672199171,0.9916666666666667,0.9896049896049897,0.9916666666666667,0.9875,40% (768),768
Evaluation for chatgpt_wiki_without,0.5525876460767947,0.528099910793934,0.988313856427379,0.6883720930232557,0.988313856427379,0.11686143572621036,50% (960),960
Evaluation for bloomz_wiki_without,0.5483333333333333,0.5274102079395085,0.93,0.6731001206272618,0.93,0.16666666666666666,50% (960),960
Evaluation for llama3_ml_without,0.5183333333333333,0.5096830985915493,0.965,0.6670506912442395,0.965,0.07166666666666667,50% (960),960
Evaluation for flant5_abstract_without,0.9508333333333333,0.982174688057041,0.9183333333333333,0.9491817398794145,0.9183333333333333,0.9833333333333333,50% (960),960
Evaluation for davinci_abstract_without,0.955,0.989247311827957,0.92,0.9533678756476685,0.92,0.99,50% (960),960
Evaluation for bloomz_abstract_without,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,50% (960),960
Evaluation for llama3_abstract_without,0.9966666666666667,0.9966666666666667,0.9966666666666667,0.9966666666666667,0.9966666666666667,0.9966666666666667,50% (960),960
Evaluation for davinci_wiki_without,0.5333333333333333,0.5181488203266787,0.9516666666666667,0.6709753231492362,0.9516666666666667,0.115,50% (960),960
Evaluation for chatgpt_abstract_without,0.9916666666666667,0.9836065573770492,1.0,0.9917355371900827,1.0,0.9833333333333333,50% (960),960
Test results,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,50% (960),960
Validation results,0.9895833333333334,0.9815573770491803,0.9979166666666667,0.9896694214876033,0.9979166666666667,0.98125,50% (960),960
Evaluation for cohere_abstract_without,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,50% (960),960
Evaluation for cohere_wiki_without,0.5448717948717948,0.523972602739726,0.9807692307692307,0.6830357142857143,0.9807692307692307,0.10897435897435898,50% (960),960
Test results,0.9883333333333333,0.9883333333333333,0.9883333333333333,0.9883333333333333,0.9883333333333333,0.9883333333333333,60% (1152),1152
Validation results,0.9854166666666667,0.9774590163934426,0.99375,0.9855371900826446,0.99375,0.9770833333333333,60% (1152),1152
Evaluation for cohere_wiki_without,0.5470085470085471,0.5254041570438799,0.9722222222222222,0.68215892053973,0.9722222222222222,0.12179487179487179,60% (1152),1152
Evaluation for chatgpt_wiki_without,0.5575959933222037,0.5310531053105311,0.9849749582637729,0.6900584795321637,0.9849749582637729,0.1302170283806344,60% (1152),1152
Evaluation for bloomz_wiki_without,0.5183333333333333,0.5102230483271375,0.915,0.6551312649164677,0.915,0.12166666666666667,60% (1152),1152
Evaluation for llama3_ml_without,0.4583333333333333,0.4767225325884544,0.8533333333333334,0.6117084826762247,0.8533333333333334,0.06333333333333334,60% (1152),1152
Evaluation for flant5_abstract_without,0.9433333333333334,0.9871794871794872,0.8983333333333333,0.9406631762652704,0.8983333333333333,0.9883333333333333,60% (1152),1152
Evaluation for davinci_abstract_without,0.955,0.9927797833935018,0.9166666666666666,0.953206239168111,0.9166666666666666,0.9933333333333333,60% (1152),1152
Evaluation for cohere_abstract_without,0.9791666666666666,0.9881154499151104,0.97,0.9789739276703112,0.97,0.9883333333333333,60% (1152),1152
Evaluation for llama3_abstract_without,0.9958333333333333,0.998324958123953,0.9933333333333333,0.9958228905597326,0.9933333333333333,0.9983333333333333,60% (1152),1152
Evaluation for bloomz_abstract_without,0.9883333333333333,0.9883333333333333,0.9883333333333333,0.9883333333333333,0.9883333333333333,0.9883333333333333,60% (1152),1152
Evaluation for chatgpt_abstract_without,0.9941666666666666,0.9884678747940692,1.0,0.9942004971002485,1.0,0.9883333333333333,60% (1152),1152
Evaluation for davinci_wiki_without,0.525,0.5136116152450091,0.9433333333333334,0.6650998824911868,0.9433333333333334,0.10666666666666667,60% (1152),1152
Validation results,0.9895833333333334,0.9815573770491803,0.9979166666666667,0.9896694214876033,0.9979166666666667,0.98125,70% (1344),1344
Evaluation for chatgpt_abstract_without,0.9933333333333333,0.9868421052631579,1.0,0.9933774834437086,1.0,0.9866666666666667,70% (1344),1344
Evaluation for bloomz_abstract_without,0.9883333333333333,0.9867109634551495,0.99,0.9883527454242927,0.99,0.9866666666666667,70% (1344),1344
Evaluation for llama3_abstract_without,0.9958333333333333,0.998324958123953,0.9933333333333333,0.9958228905597326,0.9933333333333333,0.9983333333333333,70% (1344),1344
Evaluation for cohere_abstract_without,0.9791666666666666,0.9864636209813875,0.9716666666666667,0.979009235936188,0.9716666666666667,0.9866666666666667,70% (1344),1344
Evaluation for davinci_abstract_without,0.9533333333333334,0.9945454545454545,0.9116666666666666,0.9513043478260869,0.9116666666666666,0.995,70% (1344),1344
Evaluation for davinci_wiki_without,0.5708333333333333,0.540514775977121,0.945,0.687689508793208,0.945,0.19666666666666666,70% (1344),1344
Evaluation for flant5_abstract_without,0.9441666666666667,0.9854280510018215,0.9016666666666666,0.9416884247171454,0.9016666666666666,0.9866666666666667,70% (1344),1344
Evaluation for llama3_ml_without,0.4633333333333333,0.47947761194029853,0.8566666666666667,0.6148325358851674,0.8566666666666667,0.07,70% (1344),1344
Evaluation for bloomz_wiki_without,0.5783333333333334,0.5466269841269841,0.9183333333333333,0.6853233830845771,0.9183333333333333,0.23833333333333334,70% (1344),1344
Evaluation for chatgpt_wiki_without,0.5993322203672788,0.5560791705937794,0.9849749582637729,0.7108433734939759,0.9849749582637729,0.21368948247078465,70% (1344),1344
Evaluation for cohere_wiki_without,0.5865384615384616,0.5493300852618758,0.9636752136752137,0.6997672614429791,0.9636752136752137,0.2094017094017094,70% (1344),1344
Test results,0.9883333333333333,0.9867109634551495,0.99,0.9883527454242927,0.99,0.9866666666666667,70% (1344),1344
Validation results,0.9927083333333333,0.9876288659793815,0.9979166666666667,0.9927461139896373,0.9979166666666667,0.9875,80% (1536),1536
Test results,0.985,0.9817880794701986,0.9883333333333333,0.9850498338870431,0.9883333333333333,0.9816666666666667,80% (1536),1536
Evaluation for chatgpt_abstract_without,0.9908333333333333,0.9819967266775778,1.0,0.990916597853014,1.0,0.9816666666666667,80% (1536),1536
Evaluation for bloomz_abstract_without,0.985,0.9817880794701986,0.9883333333333333,0.9850498338870431,0.9883333333333333,0.9816666666666667,80% (1536),1536
Evaluation for llama3_abstract_without,0.9966666666666667,0.9983277591973244,0.995,0.996661101836394,0.995,0.9983333333333333,80% (1536),1536
Evaluation for cohere_abstract_without,0.975,0.981418918918919,0.9683333333333334,0.9748322147651007,0.9683333333333334,0.9816666666666667,80% (1536),1536
Evaluation for davinci_abstract_without,0.9383333333333334,0.9925093632958801,0.8833333333333333,0.9347442680776014,0.8833333333333333,0.9933333333333333,80% (1536),1536
Evaluation for davinci_wiki_without,0.5283333333333333,0.515426497277677,0.9466666666666667,0.6674500587544065,0.9466666666666667,0.11,80% (1536),1536
Evaluation for flant5_abstract_without,0.9391666666666667,0.9799635701275046,0.8966666666666666,0.9364664926022628,0.8966666666666666,0.9816666666666667,80% (1536),1536
Evaluation for llama3_ml_without,0.5083333333333333,0.5046468401486989,0.905,0.6479713603818615,0.905,0.11166666666666666,80% (1536),1536
Evaluation for bloomz_wiki_without,0.5308333333333334,0.5164444444444445,0.9683333333333334,0.673623188405797,0.9683333333333334,0.09333333333333334,80% (1536),1536
Evaluation for chatgpt_wiki_without,0.5617696160267112,0.5333935018050542,0.986644407345576,0.6924428822495606,0.986644407345576,0.13689482470784642,80% (1536),1536
Evaluation for cohere_wiki_without,0.5363247863247863,0.5193621867881549,0.9743589743589743,0.6775631500742942,0.9743589743589743,0.09829059829059829,80% (1536),1536
Test results,0.9891666666666666,0.9867330016583747,0.9916666666666667,0.9891936824605153,0.9916666666666667,0.9866666666666667,90% (1728),1728
Evaluation for chatgpt_abstract_without,0.9933333333333333,0.9868421052631579,1.0,0.9933774834437086,1.0,0.9866666666666667,90% (1728),1728
