test_data,Accuracy,Precision,Recall,F1 Score,Sensitivity,Specificity,percentage,percentageValue
Evaluation for chatgpt_wiki_without,0.6953255425709516,0.9875,0.39565943238731216,0.564958283671037,0.39565943238731216,0.994991652754591,10% (192),192
Evaluation for bloomz_wiki_without,0.6083333333333333,0.9924242424242424,0.21833333333333332,0.35792349726775957,0.21833333333333332,0.9983333333333333,10% (192),192
Evaluation for flant5_abstract_without,0.9558333333333333,0.9773123909249564,0.9333333333333333,0.9548167092924127,0.9333333333333333,0.9783333333333334,10% (192),192
Evaluation for davinci_abstract_without,0.7633333333333333,0.9674556213017751,0.545,0.697228144989339,0.545,0.9816666666666667,10% (192),192
Evaluation for llama3_ml_without,0.5416666666666666,0.5435540069686411,0.52,0.5315161839863713,0.52,0.5633333333333334,10% (192),192
Evaluation for llama3_abstract_without,0.9858333333333333,0.9739837398373984,0.9983333333333333,0.9860082304526749,0.9983333333333333,0.9733333333333334,10% (192),192
Evaluation for bloomz_abstract_without,0.6533333333333333,0.9380952380952381,0.3283333333333333,0.4864197530864197,0.3283333333333333,0.9783333333333334,10% (192),192
Evaluation for chatgpt_abstract_without,0.9875,0.9787234042553191,0.9966666666666667,0.9876135425268373,0.9966666666666667,0.9783333333333334,10% (192),192
Test results,0.9416666666666667,0.9766187050359713,0.905,0.9394463667820069,0.905,0.9783333333333334,10% (192),192
Evaluation for cohere_abstract_without,0.9416666666666667,0.9766187050359713,0.905,0.9394463667820069,0.905,0.9783333333333334,10% (192),192
Evaluation for bloomz_wiki_without,0.7516666666666667,0.9103260869565217,0.5583333333333333,0.6921487603305785,0.5583333333333333,0.945,15% (288),288
Test results,0.9658333333333333,0.9604612850082372,0.9716666666666667,0.9660314830157415,0.9716666666666667,0.96,15% (288),288
Evaluation for davinci_wiki_without,0.6333333333333333,0.9040404040404041,0.29833333333333334,0.4486215538847118,0.29833333333333334,0.9683333333333334,15% (288),288
Evaluation for cohere_wiki_without,0.7574786324786325,0.9446494464944649,0.5470085470085471,0.6928281461434371,0.5470085470085471,0.967948717948718,15% (288),288
Evaluation for chatgpt_wiki_without,0.7520868113522537,0.9339080459770115,0.5425709515859767,0.6863780359028512,0.5425709515859767,0.9616026711185309,15% (288),288
Evaluation for llama3_ml_without,0.5508333333333333,0.5375153751537516,0.7283333333333334,0.6185421089879688,0.7283333333333334,0.37333333333333335,15% (288),288
Validation results,0.9614583333333333,0.9529652351738241,0.9708333333333333,0.9618163054695562,0.9708333333333333,0.9520833333333333,15% (288),288
Evaluation for davinci_abstract_without,0.8475,0.9503239740820735,0.7333333333333333,0.8278457196613359,0.7333333333333333,0.9616666666666667,15% (288),288
Evaluation for cohere_abstract_without,0.9658333333333333,0.9604612850082372,0.9716666666666667,0.9660314830157415,0.9716666666666667,0.96,15% (288),288
Evaluation for llama3_abstract_without,0.9841666666666666,0.9693053311793215,1.0,0.9844134536505331,1.0,0.9683333333333334,15% (288),288
Evaluation for bloomz_abstract_without,0.6916666666666667,0.9136690647482014,0.42333333333333334,0.5785876993166287,0.42333333333333334,0.96,15% (288),288
Evaluation for chatgpt_abstract_without,0.9758333333333333,0.9612277867528272,0.9916666666666667,0.9762100082034454,0.9916666666666667,0.96,15% (288),288
Evaluation for flant5_abstract_without,0.9725,0.9609756097560975,0.985,0.9728395061728395,0.985,0.96,15% (288),288
Evaluation for davinci_wiki_without,0.61,0.8837209302325582,0.25333333333333335,0.39378238341968913,0.25333333333333335,0.9666666666666667,20% (384),384
Evaluation for bloomz_wiki_without,0.6841666666666667,0.8112676056338028,0.48,0.6031413612565445,0.48,0.8883333333333333,20% (384),384
Evaluation for llama3_ml_without,0.6066666666666667,0.5846560846560847,0.7366666666666667,0.6519174041297935,0.7366666666666667,0.4766666666666667,20% (384),384
Evaluation for flant5_abstract_without,0.985,0.9817880794701986,0.9883333333333333,0.9850498338870431,0.9883333333333333,0.9816666666666667,20% (384),384
Evaluation for davinci_abstract_without,0.8158333333333333,0.9656019656019657,0.655,0.7805362462760675,0.655,0.9766666666666667,20% (384),384
Evaluation for llama3_abstract_without,0.9933333333333333,0.9884488448844885,0.9983333333333333,0.9933665008291874,0.9983333333333333,0.9883333333333333,20% (384),384
Evaluation for cohere_wiki_without,0.7980769230769231,0.9428571428571428,0.6346153846153846,0.7586206896551724,0.6346153846153846,0.9615384615384616,20% (384),384
Evaluation for bloomz_abstract_without,0.6775,0.9531914893617022,0.37333333333333335,0.5365269461077845,0.37333333333333335,0.9816666666666667,20% (384),384
Evaluation for chatgpt_abstract_without,0.9866666666666667,0.9818481848184818,0.9916666666666667,0.9867330016583749,0.9916666666666667,0.9816666666666667,20% (384),384
Test results,0.9716666666666667,0.9812925170068028,0.9616666666666667,0.9713804713804715,0.9616666666666667,0.9816666666666667,20% (384),384
Validation results,0.9666666666666667,0.9705882352941176,0.9625,0.9665271966527197,0.9625,0.9708333333333333,20% (384),384
Evaluation for cohere_abstract_without,0.9716666666666667,0.9812925170068028,0.9616666666666667,0.9713804713804715,0.9616666666666667,0.9816666666666667,20% (384),384
Evaluation for chatgpt_wiki_without,0.7287145242070117,0.9363057324840764,0.49081803005008345,0.6440306681270536,0.49081803005008345,0.9666110183639399,20% (384),384
Test results,0.9716666666666667,0.966996699669967,0.9766666666666667,0.9718076285240465,0.9766666666666667,0.9666666666666667,25% (480),480
Evaluation for bloomz_abstract_without,0.725,0.9354838709677419,0.48333333333333334,0.6373626373626374,0.48333333333333334,0.9666666666666667,25% (480),480
Evaluation for llama3_abstract_without,0.9866666666666667,0.9755700325732899,0.9983333333333333,0.986820428336079,0.9983333333333333,0.975,25% (480),480
Evaluation for cohere_abstract_without,0.9716666666666667,0.966996699669967,0.9766666666666667,0.9718076285240465,0.9766666666666667,0.9666666666666667,25% (480),480
Evaluation for davinci_abstract_without,0.8416666666666667,0.9555555555555556,0.7166666666666667,0.8190476190476191,0.7166666666666667,0.9666666666666667,25% (480),480
Evaluation for flant5_abstract_without,0.9733333333333334,0.9671052631578947,0.98,0.9735099337748344,0.98,0.9666666666666667,25% (480),480
Evaluation for llama3_ml_without,0.6025,0.5749086479902558,0.7866666666666666,0.6643209007741027,0.7866666666666666,0.41833333333333333,25% (480),480
Evaluation for bloomz_wiki_without,0.6991666666666667,0.834733893557423,0.49666666666666665,0.6227795193312434,0.49666666666666665,0.9016666666666666,25% (480),480
Evaluation for chatgpt_wiki_without,0.7253756260434057,0.9591836734693877,0.4707846410684474,0.6315789473684211,0.4707846410684474,0.9799666110183639,25% (480),480
Evaluation for davinci_wiki_without,0.6025,0.9300699300699301,0.22166666666666668,0.3580080753701212,0.22166666666666668,0.9833333333333333,25% (480),480
Evaluation for chatgpt_abstract_without,0.9808333333333333,0.9675850891410048,0.995,0.9811010682004929,0.995,0.9666666666666667,25% (480),480
Evaluation for cohere_wiki_without,0.7649572649572649,0.9661654135338346,0.5491452991452992,0.7002724795640327,0.5491452991452992,0.9807692307692307,25% (480),480
Validation results,0.9614583333333333,0.9511201629327902,0.9729166666666667,0.9618949536560247,0.9729166666666667,0.95,25% (480),480
Evaluation for llama3_ml_without,0.4666666666666667,0.45098039215686275,0.30666666666666664,0.36507936507936506,0.30666666666666664,0.6266666666666667,30% (576),576
Evaluation for chatgpt_abstract_without,0.985,0.9739413680781759,0.9966666666666667,0.985172981878089,0.9966666666666667,0.9733333333333334,30% (576),576
Evaluation for bloomz_abstract_without,0.6275,0.9135135135135135,0.2816666666666667,0.43057324840764327,0.2816666666666667,0.9733333333333334,30% (576),576
Validation results,0.9677083333333333,0.9609856262833676,0.975,0.9679420889348501,0.975,0.9604166666666667,30% (576),576
Evaluation for cohere_abstract_without,0.97,0.9731543624161074,0.9666666666666667,0.9698996655518394,0.9666666666666667,0.9733333333333334,30% (576),576
Evaluation for davinci_abstract_without,0.7308333333333333,0.9511400651465798,0.4866666666666667,0.6438809261300992,0.4866666666666667,0.975,30% (576),576
Evaluation for flant5_abstract_without,0.9683333333333334,0.9730639730639731,0.9633333333333334,0.9681742043551089,0.9633333333333334,0.9733333333333334,30% (576),576
Evaluation for llama3_abstract_without,0.985,0.9739413680781759,0.9966666666666667,0.985172981878089,0.9966666666666667,0.9733333333333334,30% (576),576
Evaluation for bloomz_wiki_without,0.5683333333333334,1.0,0.13666666666666666,0.24046920821114368,0.13666666666666666,1.0,30% (576),576
Evaluation for chatgpt_wiki_without,0.7086811352253757,0.9807692307692307,0.4257095158597663,0.5937136204889406,0.4257095158597663,0.991652754590985,30% (576),576
Evaluation for cohere_wiki_without,0.7264957264957265,0.9907407407407407,0.45726495726495725,0.6257309941520468,0.45726495726495725,0.9957264957264957,30% (576),576
Evaluation for davinci_wiki_without,0.5875,0.9906542056074766,0.17666666666666667,0.2998585572842999,0.17666666666666667,0.9983333333333333,30% (576),576
Test results,0.97,0.9731543624161074,0.9666666666666667,0.9698996655518394,0.9666666666666667,0.9733333333333334,30% (576),576
Validation results,0.9708333333333333,0.9669421487603306,0.975,0.970954356846473,0.975,0.9666666666666667,35% (672),672
Evaluation for chatgpt_abstract_without,0.98,0.9721311475409836,0.9883333333333333,0.9801652892561984,0.9883333333333333,0.9716666666666667,35% (672),672
Evaluation for bloomz_abstract_without,0.7125,0.9411764705882353,0.4533333333333333,0.6119235095613048,0.4533333333333333,0.9716666666666667,35% (672),672
Evaluation for davinci_wiki_without,0.615,0.8791208791208791,0.26666666666666666,0.40920716112531974,0.26666666666666666,0.9633333333333334,35% (672),672
Evaluation for cohere_abstract_without,0.9766666666666667,0.971947194719472,0.9816666666666667,0.9767827529021559,0.9816666666666667,0.9716666666666667,35% (672),672
Evaluation for davinci_abstract_without,0.8016666666666666,0.9593908629441624,0.63,0.7605633802816902,0.63,0.9733333333333334,35% (672),672
Evaluation for flant5_abstract_without,0.9758333333333333,0.971900826446281,0.98,0.9759336099585062,0.98,0.9716666666666667,35% (672),672
Evaluation for llama3_ml_without,0.5591666666666667,0.5454545454545454,0.71,0.6169442433019551,0.71,0.4083333333333333,35% (672),672
Test results,0.9766666666666667,0.971947194719472,0.9816666666666667,0.9767827529021559,0.9816666666666667,0.9716666666666667,35% (672),672
Evaluation for cohere_wiki_without,0.8012820512820513,0.9763513513513513,0.6175213675213675,0.7565445026178012,0.6175213675213675,0.9850427350427351,35% (672),672
Evaluation for llama3_abstract_without,0.9858333333333333,0.9755301794453507,0.9966666666666667,0.9859851607584501,0.9966666666666667,0.975,35% (672),672
Evaluation for chatgpt_wiki_without,0.7420701168614358,0.953125,0.5091819699499165,0.6637649619151251,0.5091819699499165,0.9749582637729549,35% (672),672
Evaluation for bloomz_wiki_without,0.7516666666666667,0.9548192771084337,0.5283333333333333,0.6802575107296138,0.5283333333333333,0.975,35% (672),672
Evaluation for bloomz_wiki_without,0.7425,0.8423529411764706,0.5966666666666667,0.6985365853658538,0.5966666666666667,0.8883333333333333,40% (768),768
Validation results,0.9604166666666667,0.9350393700787402,0.9895833333333334,0.9615384615384616,0.9895833333333334,0.93125,40% (768),768
Test results,0.9691666666666666,0.9475357710651828,0.9933333333333333,0.9698942229454841,0.9933333333333333,0.945,40% (768),768
Evaluation for chatgpt_abstract_without,0.9716666666666667,0.9477848101265823,0.9983333333333333,0.9724025974025973,0.9983333333333333,0.945,40% (768),768
Evaluation for bloomz_abstract_without,0.6908333333333333,0.888135593220339,0.43666666666666665,0.5854748603351955,0.43666666666666665,0.945,40% (768),768
Evaluation for chatgpt_wiki_without,0.8664440734557596,0.8998178506375227,0.8247078464106845,0.8606271777003485,0.8247078464106845,0.9081803005008348,40% (768),768
Evaluation for cohere_abstract_without,0.9691666666666666,0.9475357710651828,0.9933333333333333,0.9698942229454841,0.9933333333333333,0.945,40% (768),768
Evaluation for davinci_abstract_without,0.76,0.9171122994652406,0.5716666666666667,0.7043121149897331,0.5716666666666667,0.9483333333333334,40% (768),768
Evaluation for flant5_abstract_without,0.9658333333333333,0.9472,0.9866666666666667,0.966530612244898,0.9866666666666667,0.945,40% (768),768
Evaluation for llama3_ml_without,0.5491666666666667,0.5368289637952559,0.7166666666666667,0.6138472519628836,0.7166666666666667,0.38166666666666665,40% (768),768
Evaluation for davinci_wiki_without,0.7466666666666667,0.857487922705314,0.5916666666666667,0.7001972386587771,0.5916666666666667,0.9016666666666666,40% (768),768
Evaluation for llama3_abstract_without,0.9816666666666667,0.9661290322580646,0.9983333333333333,0.9819672131147542,0.9983333333333333,0.965,40% (768),768
Evaluation for cohere_wiki_without,0.8963675213675214,0.9225512528473804,0.8653846153846154,0.8930540242557884,0.8653846153846154,0.9273504273504274,40% (768),768
Evaluation for chatgpt_abstract_without,0.9758333333333333,0.9948006932409013,0.9566666666666667,0.9753610875106203,0.9566666666666667,0.995,45% (864),864
Evaluation for bloomz_abstract_without,0.6983333333333334,0.9877049180327869,0.40166666666666667,0.5710900473933649,0.40166666666666667,0.995,45% (864),864
Evaluation for llama3_abstract_without,0.9875,0.9866888519134775,0.9883333333333333,0.9875104079933389,0.9883333333333333,0.9866666666666667,45% (864),864
Evaluation for cohere_abstract_without,0.9775,0.9948186528497409,0.96,0.9770992366412213,0.96,0.995,45% (864),864
Evaluation for davinci_abstract_without,0.775,0.9881656804733728,0.5566666666666666,0.7121535181236675,0.5566666666666666,0.9933333333333333,45% (864),864
Evaluation for llama3_ml_without,0.48833333333333334,0.48727272727272725,0.44666666666666666,0.46608695652173915,0.44666666666666666,0.53,45% (864),864
Validation results,0.9791666666666666,0.9852320675105485,0.9729166666666667,0.979035639412998,0.9729166666666667,0.9854166666666667,45% (864),864
Evaluation for bloomz_wiki_without,0.7425,0.8921832884097035,0.5516666666666666,0.6817713697219362,0.5516666666666666,0.9333333333333333,45% (864),864
Evaluation for chatgpt_wiki_without,0.7287145242070117,0.9391025641025641,0.48914858096828046,0.6432491767288693,0.48914858096828046,0.9682804674457429,45% (864),864
Evaluation for cohere_wiki_without,0.8002136752136753,0.9546925566343042,0.6303418803418803,0.7593307593307594,0.6303418803418803,0.9700854700854701,45% (864),864
Evaluation for davinci_wiki_without,0.6083333333333333,0.90625,0.24166666666666667,0.3815789473684211,0.24166666666666667,0.975,45% (864),864
Evaluation for flant5_abstract_without,0.98,0.9948453608247423,0.965,0.9796954314720813,0.965,0.995,45% (864),864
Test results,0.9775,0.9948186528497409,0.96,0.9770992366412213,0.96,0.995,45% (864),864
Test results,0.9783333333333334,0.993127147766323,0.9633333333333334,0.9780033840947546,0.9633333333333334,0.9933333333333333,50% (960),960
Evaluation for chatgpt_abstract_without,0.9775,0.9931153184165232,0.9616666666666667,0.9771380186282812,0.9616666666666667,0.9933333333333333,50% (960),960
Evaluation for bloomz_abstract_without,0.5716666666666667,0.9574468085106383,0.15,0.25936599423631124,0.15,0.9933333333333333,50% (960),960
Evaluation for llama3_abstract_without,0.9958333333333333,0.996661101836394,0.995,0.9958298582151792,0.995,0.9966666666666667,50% (960),960
Evaluation for cohere_abstract_without,0.9783333333333334,0.993127147766323,0.9633333333333334,0.9780033840947546,0.9633333333333334,0.9933333333333333,50% (960),960
Evaluation for flant5_abstract_without,0.9775,0.9931153184165232,0.9616666666666667,0.9771380186282812,0.9616666666666667,0.9933333333333333,50% (960),960
Evaluation for llama3_ml_without,0.7425,0.793939393939394,0.655,0.7178082191780822,0.655,0.83,50% (960),960
Evaluation for bloomz_wiki_without,0.6408333333333334,0.9518716577540107,0.2966666666666667,0.4523506988564168,0.2966666666666667,0.985,50% (960),960
Evaluation for chatgpt_wiki_without,0.7437395659432388,0.9899328859060402,0.49248747913188645,0.6577480490523969,0.49248747913188645,0.994991652754591,50% (960),960
Evaluation for cohere_wiki_without,0.811965811965812,0.9866666666666667,0.6324786324786325,0.7708333333333334,0.6324786324786325,0.9914529914529915,50% (960),960
Evaluation for davinci_wiki_without,0.6316666666666667,0.9876543209876543,0.26666666666666666,0.4199475065616798,0.26666666666666666,0.9966666666666667,50% (960),960
Validation results,0.9885416666666667,0.9936842105263158,0.9833333333333333,0.9884816753926702,0.9833333333333333,0.99375,50% (960),960
Evaluation for davinci_abstract_without,0.6125,0.9787234042553191,0.23,0.3724696356275303,0.23,0.995,50% (960),960
Test results,0.9833333333333333,0.9882154882154882,0.9783333333333334,0.983249581239531,0.9783333333333334,0.9883333333333333,60% (1152),1152
Evaluation for llama3_abstract_without,0.9941666666666666,0.9933444259567388,0.995,0.9941715237302248,0.995,0.9933333333333333,60% (1152),1152
Evaluation for davinci_wiki_without,0.585,0.925,0.185,0.3083333333333333,0.185,0.985,60% (1152),1152
Evaluation for cohere_wiki_without,0.7863247863247863,0.9785714285714285,0.5854700854700855,0.7326203208556149,0.5854700854700855,0.9871794871794872,60% (1152),1152
Evaluation for chatgpt_wiki_without,0.6994991652754591,0.9613899613899614,0.41569282136894825,0.5804195804195804,0.41569282136894825,0.9833055091819699,60% (1152),1152
Evaluation for bloomz_wiki_without,0.6125,0.972027972027972,0.23166666666666666,0.37415881561238223,0.23166666666666666,0.9933333333333333,60% (1152),1152
Evaluation for llama3_ml_without,0.6091666666666666,0.6378947368421053,0.505,0.5637209302325582,0.505,0.7133333333333334,60% (1152),1152
Evaluation for flant5_abstract_without,0.97,0.9878892733564014,0.9516666666666667,0.969439728353141,0.9516666666666667,0.9883333333333333,60% (1152),1152
Evaluation for davinci_abstract_without,0.6416666666666667,0.9722222222222222,0.2916666666666667,0.44871794871794873,0.2916666666666667,0.9916666666666667,60% (1152),1152
Evaluation for cohere_abstract_without,0.9833333333333333,0.9882154882154882,0.9783333333333334,0.983249581239531,0.9783333333333334,0.9883333333333333,60% (1152),1152
Evaluation for bloomz_abstract_without,0.6241666666666666,0.9570552147239264,0.26,0.40891218872870255,0.26,0.9883333333333333,60% (1152),1152
Validation results,0.98125,0.9832635983263598,0.9791666666666666,0.9812108559498954,0.9791666666666666,0.9833333333333333,60% (1152),1152
Evaluation for chatgpt_abstract_without,0.9716666666666667,0.9879310344827587,0.955,0.9711864406779661,0.955,0.9883333333333333,60% (1152),1152
Evaluation for cohere_wiki_without,0.8333333333333334,0.9814814814814815,0.6794871794871795,0.803030303030303,0.6794871794871795,0.9871794871794872,70% (1344),1344
Test results,0.9833333333333333,0.9849498327759197,0.9816666666666667,0.9833055091819699,0.9816666666666667,0.985,70% (1344),1344
Evaluation for chatgpt_wiki_without,0.7362270450751253,0.9639344262295082,0.49081803005008345,0.6504424778761061,0.49081803005008345,0.9816360601001669,70% (1344),1344
Validation results,0.9822916666666667,0.979296066252588,0.9854166666666667,0.9823468328141226,0.9854166666666667,0.9791666666666666,70% (1344),1344
Evaluation for llama3_ml_without,0.6666666666666666,0.6529051987767585,0.7116666666666667,0.6810207336523126,0.7116666666666667,0.6216666666666667,70% (1344),1344
Evaluation for flant5_abstract_without,0.9766666666666667,0.9847457627118644,0.9683333333333334,0.9764705882352941,0.9683333333333334,0.985,70% (1344),1344
Evaluation for davinci_abstract_without,0.7341666666666666,0.9730639730639731,0.4816666666666667,0.6443701226309922,0.4816666666666667,0.9866666666666667,70% (1344),1344
Evaluation for bloomz_wiki_without,0.7183333333333334,0.9225806451612903,0.4766666666666667,0.6285714285714286,0.4766666666666667,0.96,70% (1344),1344
Evaluation for llama3_abstract_without,0.9933333333333333,0.9900662251655629,0.9966666666666667,0.9933554817275748,0.9966666666666667,0.99,70% (1344),1344
Evaluation for bloomz_abstract_without,0.7,0.9651162790697675,0.415,0.5804195804195804,0.415,0.985,70% (1344),1344
Evaluation for chatgpt_abstract_without,0.97,0.9845360824742269,0.955,0.9695431472081217,0.955,0.985,70% (1344),1344
Evaluation for cohere_abstract_without,0.9833333333333333,0.9849498327759197,0.9816666666666667,0.9833055091819699,0.9816666666666667,0.985,70% (1344),1344
Evaluation for davinci_wiki_without,0.6258333333333334,0.9314285714285714,0.27166666666666667,0.4206451612903226,0.27166666666666667,0.98,70% (1344),1344
Evaluation for davinci_abstract_without,0.6183333333333333,0.9930555555555556,0.23833333333333334,0.3844086021505377,0.23833333333333334,0.9983333333333333,80% (1536),1536
